#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
             495         1.56661         1.56209     8.71216e-05
             496         1.56664          1.5621     8.74291e-05
             497         1.56667         1.56211     8.77371e-05
             498         1.56671         1.56211     8.80459e-05
             499         1.56674         1.56212     8.83552e-05
             500         1.56677         1.56213     8.86653e-05
             501          1.5668         1.56214     8.89759e-05
             502         1.56683         1.56215     8.92872e-05
             503         1.56686         1.56216     8.95991e-05
             504         1.56689         1.56217     8.99117e-05
             505         1.56692         1.56218     9.02249e-05
             506         1.56695         1.56219     9.05388e-05
             507         1.56699          1.5622     9.08533e-05
             508         1.56702         1.56221     9.11685e-05
             509         1.56705         1.56222     9.14843e-05
             510         1.56708         1.56223     9.18008e-05
             511         1.56711         1.56224     9.21179e-05
             512         1.56715         1.56225     9.24357e-05
             513         1.56718         1.56226     9.27541e-05
             514         1.56721         1.56227     9.30732e-05
             515         1.56724         1.56228      9.3393e-05
             516         1.56728         1.56228     9.37134e-05
             517         1.56731         1.56229     9.40345e-05
             518         1.56734          1.5623     9.43562e-05
             519         1.56737         1.56231     9.46786e-05
             520         1.56741         1.56232     9.50017e-05
             521         1.56744         1.56233     9.53255e-05
             522         1.56747         1.56234     9.56499e-05
             523         1.56751         1.56235     9.59749e-05
             524         1.56754         1.56236     9.63007e-05
             525         1.56757         1.56237     9.66271e-05
             526         1.56761         1.56238     9.69542e-05
             527         1.56764         1.56239      9.7282e-05
             528         1.56767          1.5624     9.76104e-05
             529         1.56771         1.56241     9.79396e-05
             530         1.56774         1.56242     9.82694e-05
             531         1.56778         1.56243     9.85999e-05
             532         1.56781         1.56244      9.8931e-05
             533         1.56784         1.56245     9.92629e-05
             534         1.56788         1.56246     9.95954e-05
             535         1.56791         1.56247     9.99287e-05
             536         1.56795         1.56248     0.000100263
             537         1.56798         1.56249     0.000100597
             538         1.56802          1.5625     0.000100933
             539         1.56805         1.56252     0.000101269
             540         1.56809         1.56253     0.000101605
             541         1.56812         1.56254     0.000101943
             542         1.56816         1.56255     0.000102281
             543         1.56819         1.56256     0.000102619
             544         1.56823         1.56257     0.000102959
             545         1.56826         1.56258     0.000103299
             546          1.5683         1.56259      0.00010364
             547         1.56833          1.5626     0.000103982
             548         1.56837         1.56261     0.000104324
             549         1.56841         1.56262     0.000104667
             550         1.56844         1.56263     0.000105011
             551         1.56848         1.56264     0.000105355
             552         1.56851         1.56265       0.0001057
             553         1.56855         1.56266     0.000106046
             554         1.56859         1.56267     0.000106393
             555         1.56862         1.56268      0.00010674
             556         1.56866         1.56269     0.000107088
             557          1.5687          1.5627     0.000107437
             558         1.56873         1.56272     0.000107786
             559         1.56877         1.56273     0.000108137
             560         1.56881         1.56274     0.000108488
             561         1.56885         1.56275     0.000108839
             562         1.56888         1.56276     0.000109192
             563         1.56892         1.56277     0.000109545
             564         1.56896         1.56278     0.000109899
             565           1.569         1.56279     0.000110253
             566         1.56903          1.5628     0.000110609
             567         1.56907         1.56281     0.000110965
             568         1.56911         1.56283     0.000111322
             569         1.56915         1.56284     0.000111679
             570         1.56919         1.56285     0.000112038
             571         1.56922         1.56286     0.000112397
             572         1.56926         1.56287     0.000112757
             573          1.5693         1.56288     0.000113117
             574         1.56934         1.56289     0.000113479
             575         1.56938          1.5629     0.000113841
             576         1.56942         1.56291     0.000114204
             577         1.56946         1.56293     0.000114567
             578          1.5695         1.56294     0.000114932
             579         1.56954         1.56295     0.000115297
             580         1.56958         1.56296     0.000115663
             581         1.56962         1.56297     0.000116029
             582         1.56966         1.56298     0.000116397
             583         1.56969         1.56299     0.000116765
             584         1.56973         1.56301     0.000117134
             585         1.56977         1.56302     0.000117504
             586         1.56981         1.56303     0.000117874
             587         1.56986         1.56304     0.000118246
             588          1.5699         1.56305     0.000118618
             589         1.56994         1.56306     0.000118991
             590         1.56998         1.56308     0.000119364
             591         1.57002         1.56309     0.000119739
             592         1.57006          1.5631     0.000120114
             593          1.5701         1.56311      0.00012049
             594         1.57014         1.56312     0.000120867
             595         1.57018         1.56314     0.000121245
             596         1.57022         1.56315     0.000121623
             597         1.57026         1.56316     0.000122002
             598         1.57031         1.56317     0.000122382
             599         1.57035         1.56318     0.000122763
             600         1.57039          1.5632     0.000123145
             601         1.57043         1.56321     0.000123527
             602         1.57047         1.56322      0.00012391
             603         1.57052         1.56323     0.000124294
             604         1.57056         1.56324     0.000124679
             605          1.5706         1.56326     0.000125065
             606         1.57064         1.56327     0.000125451
             607         1.57069         1.56328     0.000125839
             608         1.57073         1.56329     0.000126227
             609         1.57077          1.5633     0.000126616
             610         1.57082         1.56332     0.000127005
             611         1.57086         1.56333     0.000127396
             612          1.5709         1.56334     0.000127787
             613         1.57095         1.56335     0.000128179
             614         1.57099         1.56337     0.000128572
             615         1.57103         1.56338     0.000128966
             616         1.57108         1.56339     0.000129361
             617         1.57112          1.5634     0.000129757
             618         1.57117         1.56342     0.000130153
             619         1.57121         1.56343      0.00013055
             620         1.57125         1.56344     0.000130948
             621          1.5713         1.56345     0.000131347
             622         1.57134         1.56347     0.000131747
             623         1.57139         1.56348     0.000132148
             624         1.57143         1.56349     0.000132549
             625         1.57148         1.56351     0.000132951
             626         1.57152         1.56352     0.000133354
             627         1.57157         1.56353     0.000133759
             628         1.57161         1.56354     0.000134163
             629         1.57166         1.56356     0.000134569
             630         1.57171         1.56357     0.000134976
             631         1.57175         1.56358     0.000135383
             632          1.5718          1.5636     0.000135792
             633         1.57184         1.56361     0.000136201
             634         1.57189         1.56362     0.000136611
             635         1.57194         1.56363     0.000137022
             636         1.57198         1.56365     0.000137434
             637         1.57203         1.56366     0.000137846
             638         1.57208         1.56367      0.00013826
             639         1.57212         1.56369     0.000138675
             640         1.57217          1.5637      0.00013909
             641         1.57222         1.56371     0.000139506
             642         1.57227         1.56373     0.000139923
             643         1.57231         1.56374     0.000140341
             644         1.57236         1.56375      0.00014076
             645         1.57241         1.56377      0.00014118
             646         1.57246         1.56378     0.000141601
