#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
             608       -3.348631       -3.350995    0.0003030242
             609       -3.348458       -3.350991    0.0003025552
             610       -3.348438       -3.350986    0.0003020882
             611       -3.348269       -3.350982    0.0003016265
             612       -3.348251       -3.350977    0.0003011666
             613       -3.348234       -3.350973    0.0003007086
             614       -3.348068       -3.350968    0.0003002561
             615       -3.348054       -3.350964    0.0002998052
             616       -3.348041       -3.350959    0.0002993561
             617       -3.347878       -3.350954    0.0002989125
             618       -3.347566       -3.350948    0.0002984791
             619       -3.347254       -3.350942    0.0002980566
             620       -3.347096       -3.350936    0.0002976404
             621       -3.346937        -3.35093    0.0002972308
             622       -3.346931       -3.350923    0.0002968224
             623       -3.347078       -3.350917    0.0002964101
             624       -3.347074       -3.350911    0.0002959991
             625       -3.347071       -3.350905    0.0002955892
             626       -3.347068       -3.350899    0.0002951806
             627       -3.346915       -3.350892    0.0002947782
             628       -3.346763       -3.350886    0.0002943821
             629       -3.347064        -3.35088    0.0002939768
             630       -3.347064       -3.350874    0.0002935725
