#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             684       0.8707597        1.014202     0.008094267
             685       0.8700464        1.013992     0.008085186
             686       0.8693583        1.013781     0.008076148
             687       0.8687054         1.01357     0.008067153
             688        0.868071        1.013358     0.008058199
             689       0.8674678        1.013147     0.008049285
             690       0.8668923        1.012935      0.00804041
             691       0.8663477        1.012723     0.008031572
             692       0.8658439         1.01251     0.008022769
             693       0.8653712        1.012298     0.008014002
